author,orcid,affiliation,affiliation_type,country,paper_title,paper_year,paper_doi,paper_venue,author_position,topic_query,n_relevant_papers,industry_flag,score
Ming Liang,,Taiwan Semiconductor Manufacturing Company (China),industry,CN,Towards power device packaging: Development of Cu-Au 10min direct bonding to replace sintered Ag paste using high interface density surface activation layers,2026,https://doi.org/10.1016/j.msea.2026.149812,Materials Science and Engineering A,middle,wide bandgap power device packaging,1,1,16
Minghu Zhang,,Wuhan Digital Engineering Institute,industry,,Simultaneous Measurement of the Thermal Boundary Resistance and Thermal Conductivity of Die-Attach Materials in Sandwich Structures via Multiwavelength Transient Thermoreflectance,2026,https://doi.org/10.1021/acsaelm.6c00280,ACS Applied Electronic Materials,middle,die attach thermal resistance,1,1,16
Mingzhu You,0000-0003-3430-5454,Zhengzhou Institute of Machinery,academic,CN,Effect of carbide interface layer construction on the interface structure and thermal conductivity of diamond/copper composites,2026,https://doi.org/10.1016/j.ijrmhm.2026.107849,International Journal of Refractory Metals and Hard Materials,middle,copper diamond composite,1,0,16
Minoru Ueshima,,Daicel (Japan),industry,JP,Study on interfacial mechanism of Ag–Si immiscible sintering for robust migration inhibition,2026,https://doi.org/10.1016/j.matdes.2026.116125,Materials & Design,middle,die attach thermal resistance,1,1,16
Minwan Jung,,Advanced Laser Technology (United Kingdom),industry,GB,Thermal Optimization and Cooling-Channel Design for a 2-kW Fiber-Laser Cold Plate Considering Distributed Heat Sources and Mechanical Integration Constraints,2026,https://doi.org/10.9766/kimst.2026.29.4.423,Journal of the Korea Institute of Military Science and Technology,middle,laser diode thermal management,1,1,16
Mohammad Dehan Rahman,0009-0006-9242-9999,University of Arkansas at Fayetteville,academic,US,"Review of Ultrafast Switching Power Modules: Trends, Challenges, and Technical Solutions",2026,https://doi.org/10.1109/tpel.2026.3666879,IEEE Transactions on Power Electronics,middle,wide bandgap power device packaging,1,0,16
Mohammad Monfared,0000-0002-8987-0883,Swansea University,academic,GB,"SiC MOSFET reliability: Review of degradation mechanisms, failures, and enhancement strategies",2026,https://doi.org/10.1016/j.eprime.2026.201163,e-Prime – Nexus of Electrical Electronic and Intelligent Engineering,middle,wide bandgap power device packaging,1,0,16
Mohammed Amer Karout,,Vishay Intertechnology (United States),industry,US,"SiC MOSFET reliability: Review of degradation mechanisms, failures, and enhancement strategies",2026,https://doi.org/10.1016/j.eprime.2026.201163,e-Prime – Nexus of Electrical Electronic and Intelligent Engineering,middle,wide bandgap power device packaging,1,1,16
Monoj Ghosh,,Eaton (United States),industry,US,"Review of Ultrafast Switching Power Modules: Trends, Challenges, and Technical Solutions",2026,https://doi.org/10.1109/tpel.2026.3666879,IEEE Transactions on Power Electronics,middle,wide bandgap power device packaging,1,1,16
N. Rispoli,0000-0003-2773-3637,Institute for the Science and Technology of Plasmas,academic,IT,Challenges of the DTT ECH Launchers and Options Under Study,2026,https://doi.org/10.1109/tps.2026.3692783,IEEE Transactions on Plasma Science,middle,power module baseplate thermal,1,0,16
Naohisa Waki,,Hiroshima Prefectural Rehabilitation Center,academic,JP,Multicenter prospective study on the safety and clinical feasibility of tributary vein ablation using a radial fiber,2026,https://doi.org/10.1177/02683555261453487,Phlebology The Journal of Venous Disease,middle,laser diode thermal management,1,0,16
Nicolas Degrenne,,Mitsubishi Electric (France),industry,FR,Power Modules Lifetime Estimation Under Compound Tests,2026,https://doi.org/10.1109/tpel.2026.3688002,IEEE Transactions on Power Electronics,middle,power module baseplate thermal,1,1,16
Niki Zakeri,,University of Wolverhampton,academic,GB,Process driven self-organisation in laser powder bed fusion of copper coated diamond,2026,https://doi.org/10.1016/j.diamond.2026.113591,Diamond and Related Materials,middle,copper diamond composite,1,0,16
O. Lopez,,Sony (Taiwan),industry,TW,Wirebondability and Solderability of NiAu Electroless Front Side Metalized Silicon Wafers Subjected to High Temperature Back End Assembly Process Flows,2026,https://doi.org/10.4071/001c.164932,IMAPSource Proceedings,middle,die attach thermal resistance,1,1,16
Okhyun Nam,,Seoul Semiconductor (South Korea),industry,KR,Impact of AlN buffer thickness on electrical and thermal characteristics of AlGaN/GaN/AlN HEMTs,2026,https://doi.org/10.1063/5.0310464,Applied Physics Letters,middle,GaN HEMT thermal management,1,1,16
Osamu Suzuki,0000-0002-3566-5681,Suzuki (Japan),industry,JP,Multicenter prospective study on the safety and clinical feasibility of tributary vein ablation using a radial fiber,2026,https://doi.org/10.1177/02683555261453487,Phlebology The Journal of Venous Disease,middle,laser diode thermal management,1,1,16
P. Platania,0000-0002-8520-1527,Institute for the Science and Technology of Plasmas,academic,IT,Challenges of the DTT ECH Launchers and Options Under Study,2026,https://doi.org/10.1109/tps.2026.3692783,IEEE Transactions on Plasma Science,middle,power module baseplate thermal,1,0,16
Pei Su,0000-0001-6148-0181,TH Köln - University of Applied Sciences,academic,DE,Battery-like asymmetric supercapacitors from vertically aligned Ni5P4/Ni2P nanosheets coated conductive diamond: Design and demonstrator,2026,https://doi.org/10.1016/j.est.2026.123764,Journal of Energy Storage,middle,diamond thermal conductivity substrate,1,0,16
Peiran Tian,0000-0001-5437-1358,Chinese Academy of Sciences,academic,CN,Piezotronic probe modulates the piezoelectric-electric-thermal coupling field in GaN power electronics,2026,https://doi.org/10.1039/d5nh00772k,Nanoscale Horizons,middle,GaN HEMT thermal management,1,0,16
Peng Xu,,Wuhan University,academic,CN,Investigation of N-polar GaN-diamond heterogeneous integration enabled by in-situ sputtered aluminum nitride interlayer,2026,https://doi.org/10.1016/j.diamond.2026.113310,Diamond and Related Materials,middle,diamond thermal conductivity substrate,1,0,16
Pengfei Yue,,Henan Academy of Sciences,academic,CN,Effect of carbide interface layer construction on the interface structure and thermal conductivity of diamond/copper composites,2026,https://doi.org/10.1016/j.ijrmhm.2026.107849,International Journal of Refractory Metals and Hard Materials,middle,copper diamond composite,1,0,16
Pengyuan Luo,,Tiangong University,academic,CN,Bicyclic Structure–Induced Crystallization Suppression in Bio‐Based Long‐Chain Polyamide Toward Simultaneous Toughening and High Optical Transparency,2026,https://doi.org/10.1002/pola.70205,Journal of Polymer Science,middle,co-packaged optics thermal,1,0,16
Pierluigi Fanelli,0000-0002-5095-4107,Università degli Studi della Tuscia,academic,IT,Challenges of the DTT ECH Launchers and Options Under Study,2026,https://doi.org/10.1109/tps.2026.3692783,IEEE Transactions on Plasma Science,middle,power module baseplate thermal,1,0,16
Qi Li,,Southeast University,academic,CN,"Microscopic Mechanism of Glass Surface Activation, Annealing and Etching on Glass–Ti/Cu Interfacial Adhesion",2026,https://doi.org/10.3390/mi17070836,Micromachines,middle,chiplet package thermal,1,0,16
Qian Li,,University of Science and Technology of China,academic,CN,Investigation of N-polar GaN-diamond heterogeneous integration enabled by in-situ sputtered aluminum nitride interlayer,2026,https://doi.org/10.1016/j.diamond.2026.113310,Diamond and Related Materials,middle,diamond thermal conductivity substrate,1,0,16
Qian Sun,,University of Science and Technology of China,academic,CN,Investigation of N-polar GaN-diamond heterogeneous integration enabled by in-situ sputtered aluminum nitride interlayer,2026,https://doi.org/10.1016/j.diamond.2026.113310,Diamond and Related Materials,middle,diamond thermal conductivity substrate,1,0,16
Qing Gao,,Wind Power Engineering (Japan),industry,JP,High-efficiency power electronic devices based on wide-bandgap semiconductor materials,2026,https://doi.org/10.1007/s43236-026-01335-y,Journal of Power Electronics,middle,wide bandgap power device packaging,1,1,16
Qiuping Wei,,Central South University,academic,CN,Synergistic optimization of plasma uniformity and active species density in MPCVD systems: A study based on multiphysics simulation and response surface methodology,2026,https://doi.org/10.1016/j.vacuum.2026.115568,Vacuum,middle,single crystal diamond MPCVD,1,0,16
R. Dima,,Istituto Nazionale di Fisica Nucleare,academic,IT,Challenges of the DTT ECH Launchers and Options Under Study,2026,https://doi.org/10.1109/tps.2026.3692783,IEEE Transactions on Plasma Science,middle,power module baseplate thermal,1,0,16
R. S. Howell,0009-0003-6540-5391,Northrop Grumman (United States),industry,US,Enhanced Thermal Management in GaN Superlattice Castellated Field Effect Transistors,2026,https://doi.org/10.1109/led.2026.3696134,IEEE Electron Device Letters,middle,GaN diamond thermal,1,1,16
R. Schüpbach,,Arkansas Power Electronics International,industry,US,Packaging of High Temperature 50 kW SiC Motor Drive Modules for Hybrid-Electric Vehicles,2026,https://doi.org/10.4071/001c.162677,IMAPSource Proceedings,middle,die attach thermal resistance,1,1,16
R. Shaw,,Arkansas Power Electronics International,industry,US,Packaging of High Temperature 50 kW SiC Motor Drive Modules for Hybrid-Electric Vehicles,2026,https://doi.org/10.4071/001c.162677,IMAPSource Proceedings,middle,die attach thermal resistance,1,1,16
Ran Liu,,The University of Osaka,academic,JP,Study on interfacial mechanism of Ag–Si immiscible sintering for robust migration inhibition,2026,https://doi.org/10.1016/j.matdes.2026.116125,Materials & Design,middle,die attach thermal resistance,1,0,16
Ranran Yi,,Chang'an University,academic,CN,Dielectric properties of high-temperature resistant semi-alicyclic polyimides: Research and application exploration in power devices,2026,https://doi.org/10.1016/j.cej.2026.173496,Chemical Engineering Journal,middle,wide bandgap power device packaging,1,0,16
René H. Poelma,0000-0002-4180-7033,NXP (Netherlands),industry,NL,Co-packaged electronics with microfluidics for direct-to-package cooling,2026,https://doi.org/10.1038/s44172-026-00620-9,Communications Engineering,middle,chiplet package thermal,1,1,16
Roland Yingjie Tay,0000-0002-3341-0984,Nanyang Technological University,academic,SG,Tremella‐Inspired Wrinkled 1T‐MoS <sub>2</sub> @BN for Efficient Thermal Management and Microwave Absorption,2026,https://doi.org/10.1002/adfm.75355,Advanced Functional Materials,middle,near-junction thermal management,1,0,16
Roman Chomicz,,Enel (Italy),industry,IT,Challenges of the DTT ECH Launchers and Options Under Study,2026,https://doi.org/10.1109/tps.2026.3692783,IEEE Transactions on Plasma Science,middle,power module baseplate thermal,1,1,16
Rong Li,,Tianjin Tianhe Hospital,academic,CN,Bicyclic Structure–Induced Crystallization Suppression in Bio‐Based Long‐Chain Polyamide Toward Simultaneous Toughening and High Optical Transparency,2026,https://doi.org/10.1002/pola.70205,Journal of Polymer Science,middle,co-packaged optics thermal,1,0,16
Rong Zhang,,Nanjing University,academic,CN,Advances and challenges in single crystal diamond growth via microwave plasma chemical vapor deposition,2026,https://doi.org/10.1080/26941112.2026.2669069,Functional Diamond,middle,diamond thermal conductivity substrate,1,0,16
Rongfu Guo,,Zhengzhou University,academic,CN,Effect of carbide interface layer construction on the interface structure and thermal conductivity of diamond/copper composites,2026,https://doi.org/10.1016/j.ijrmhm.2026.107849,International Journal of Refractory Metals and Hard Materials,middle,copper diamond composite,1,0,16
Ruiyang Pang,,Nanjing University of Posts and Telecommunications,academic,CN,Research on Intelligent Thermal Optimization for Chiplet-Based Heterogeneously Integrated AI Chip Embedded with Leaf-Vein-Inspired Fractal Microchannels,2026,https://doi.org/10.3390/ma19040679,Materials,middle,chiplet package thermal,1,0,16
Ryozo Kishimoto,,NGK Spark Plug (Japan),industry,JP,Epitaxial growth and characterization of AlGaN/GaN HEMT structures on 4 inch directly bonded GaN/SiC substrates,2026,https://doi.org/10.35848/1347-4065/ae6c7c,Japanese Journal of Applied Physics,middle,thermal boundary resistance GaN,1,1,16
Rémy Mével,,Zhejiang University,academic,CN,Effect of coupled/decoupled turbine guide vanes on reverse-flow combustor and mechanisms of bend-induced hot-streak bias,2026,https://doi.org/10.1016/j.ast.2026.112490,Aerospace Science and Technology,middle,near-junction thermal management,1,0,16
S Liu,,Wuhan University of Technology,academic,CN,"Wafer Warpage of Silicon Interposer in Manufacturing Processes for High Density 2.5D Advanced Packaging: Causes, Measurement, Analysis and Optimization",2026,https://doi.org/10.1016/j.fmre.2026.05.008,Fundamental Research,middle,chiplet package thermal,1,0,16
S. Ang,,University of Arkansas at Fayetteville,academic,US,Packaging of High Temperature 50 kW SiC Motor Drive Modules for Hybrid-Electric Vehicles,2026,https://doi.org/10.4071/001c.162677,IMAPSource Proceedings,middle,die attach thermal resistance,1,0,16
S. Garavaglia,0000-0002-8433-1901,Institute for the Science and Technology of Plasmas,academic,IT,Challenges of the DTT ECH Launchers and Options Under Study,2026,https://doi.org/10.1109/tps.2026.3692783,IEEE Transactions on Plasma Science,middle,power module baseplate thermal,1,0,16
S. Y. Park,0009-0004-6233-9971,Carnegie Mellon University,academic,US,Enhanced Thermal Management in GaN Superlattice Castellated Field Effect Transistors,2026,https://doi.org/10.1109/led.2026.3696134,IEEE Electron Device Letters,middle,GaN diamond thermal,1,0,16
Saeed Jahdi,0000-0002-6471-0429,At Bristol,academic,GB,"SiC MOSFET reliability: Review of degradation mechanisms, failures, and enhancement strategies",2026,https://doi.org/10.1016/j.eprime.2026.201163,e-Prime – Nexus of Electrical Electronic and Intelligent Engineering,middle,wide bandgap power device packaging,1,0,16
Saibin Han,,Shandong University,academic,CN,Simulation and Preparation of 2 in. Mosaic Single Crystal Diamond Process via MPCVD,2026,https://doi.org/10.1021/acs.cgd.5c01178,Crystal Growth & Design,middle,single crystal diamond MPCVD,1,0,16
Sander Dorrestein,,Netherlands Organisation for Applied Scientific Research,academic,NL,Co-packaged electronics with microfluidics for direct-to-package cooling,2026,https://doi.org/10.1038/s44172-026-00620-9,Communications Engineering,middle,chiplet package thermal,1,0,16
Sang Hyeon Kim,,Korea Advanced Institute of Science and Technology,academic,KR,"Advances and Future Challenges in Monolithic 3D Integrated Logic, Power, and Optoelectronics Technologies for Tightly Interconnected Intelligent Systems",2026,https://doi.org/10.1021/acsnano.5c15601,ACS Nano,middle,laser diode thermal management,1,0,16
Sen Huang,,Chinese Academy of Sciences,academic,CN,Investigation of N-polar GaN-diamond heterogeneous integration enabled by in-situ sputtered aluminum nitride interlayer,2026,https://doi.org/10.1016/j.diamond.2026.113310,Diamond and Related Materials,middle,diamond thermal conductivity substrate,1,0,16
Sen Ming,0000-0002-9679-8736,Central South University,academic,CN,Synergistic optimization of plasma uniformity and active species density in MPCVD systems: A study based on multiphysics simulation and response surface methodology,2026,https://doi.org/10.1016/j.vacuum.2026.115568,Vacuum,middle,single crystal diamond MPCVD,1,0,16
Sen Zhang,,Harbin Institute of Technology,academic,CN,High-temperature stable growth of thick polycrystalline diamond film on GaN enabled by a SiNx/Si double interlayer,2026,https://doi.org/10.1016/j.diamond.2026.113769,Diamond and Related Materials,middle,diamond heat spreader,1,0,16
Seung Hoon Lee,0009-0004-6982-0389,Pennsylvania State University,academic,US,High thermal boundary conductance across a GaN/SiC interface characterized via signal-ratio-based dual-frequency time-domain thermoreflectance,2026,https://doi.org/10.1063/5.0303711,Journal of Applied Physics,middle,thermal boundary resistance GaN,1,0,16
Seunghun Baek,,Ulsan National Institute of Science and Technology,academic,KR,"Advances and Future Challenges in Monolithic 3D Integrated Logic, Power, and Optoelectronics Technologies for Tightly Interconnected Intelligent Systems",2026,https://doi.org/10.1021/acsnano.5c15601,ACS Nano,middle,laser diode thermal management,1,0,16
Shasha Yi,,Zhengzhou University,academic,CN,Effect of carbide interface layer construction on the interface structure and thermal conductivity of diamond/copper composites,2026,https://doi.org/10.1016/j.ijrmhm.2026.107849,International Journal of Refractory Metals and Hard Materials,middle,copper diamond composite,1,0,16
Shi Lei,,Tongfu Microelectronics (China),industry,CN,Research on Intelligent Thermal Optimization for Chiplet-Based Heterogeneously Integrated AI Chip Embedded with Leaf-Vein-Inspired Fractal Microchannels,2026,https://doi.org/10.3390/ma19040679,Materials,middle,chiplet package thermal,1,1,16
Shilin Yang,,Harbin Institute of Technology,academic,CN,Modeling optimization and experimental verification of inch-scale heteroepitaxial single-crystal diamond nucleation with 915 MHz MPCVD,2026,https://doi.org/10.1016/j.vacuum.2026.115618,Vacuum,middle,single crystal diamond MPCVD,1,0,16
Shipeng Wang,,Precision Research (United States),industry,US,Laser-Assisted Mass Transfer Technology for Microlight-Emitting Diodes,2026,https://doi.org/10.1007/s41871-025-00289-2,Nanomanufacturing and Metrology,middle,laser diode thermal management,1,1,16
Shiwen Zhang,,Anhui University,academic,CN,Thermal-mechanical co-design and optimization of 2.5D chiplet integration,2026,https://doi.org/10.1016/j.microrel.2026.116156,Microelectronics Reliability,middle,chiplet package thermal,1,0,16
Shuai Tian,,Zhengzhou University of Aeronautics,academic,CN,"Effect of sintering temperature on the microstructure, composition, and heat transfer of the GaN/diamond interface",2026,https://doi.org/10.1016/j.ijheatmasstransfer.2026.128447,International Journal of Heat and Mass Transfer,middle,GaN diamond thermal,1,0,16
Shuai Xu,0000-0001-9928-5437,Chang'an University,academic,CN,Dielectric properties of high-temperature resistant semi-alicyclic polyimides: Research and application exploration in power devices,2026,https://doi.org/10.1016/j.cej.2026.173496,Chemical Engineering Journal,middle,wide bandgap power device packaging,1,0,16
Shuiping Wu,,Frontier Environmental Technology (United States),industry,US,Thermal transport mechanisms of copper/diamond composites fabricated by micro-alloying powder metallurgy,2026,https://doi.org/10.1016/j.carbon.2026.121739,Carbon,middle,copper diamond composite,1,1,16
Shujuan Liu,,Yangtze University,academic,CN,Simultaneous Measurement of the Thermal Boundary Resistance and Thermal Conductivity of Die-Attach Materials in Sandwich Structures via Multiwavelength Transient Thermoreflectance,2026,https://doi.org/10.1021/acsaelm.6c00280,ACS Applied Electronic Materials,middle,die attach thermal resistance,1,0,16
Shujuan Liu,,Yangtze University,academic,CN,Rapid Forecast of Device Transient Temperature Response at Wafer Level Through Transducer-Less Thermoreflectance Technique,2026,https://doi.org/10.1109/ted.2026.3669874,IEEE Transactions on Electron Devices,middle,GaN HEMT thermal management,1,0,16
Simon Dominy,0000-0002-0638-3693,University of Exeter,academic,GB,Standard Testwork Methodologies for Sensor-Based Particle Ore Sorting Project Development and Process Optimization,2026,https://doi.org/10.3390/min16070678,Minerals,middle,copper diamond composite,1,0,16
Stephan Duch,,TH Köln - University of Applied Sciences,academic,DE,Battery-like asymmetric supercapacitors from vertically aligned Ni5P4/Ni2P nanosheets coated conductive diamond: Design and demonstrator,2026,https://doi.org/10.1016/j.est.2026.123764,Journal of Energy Storage,middle,diamond thermal conductivity substrate,1,0,16
Stephanie Liu,0009-0005-0052-5872,Northrop Grumman (United States),industry,US,Preliminary demonstration of diamond-GaN <i>p–n</i> diodes via grafting,2026,https://doi.org/10.1063/5.0309618,Applied Physics Letters,middle,GaN diamond thermal,1,1,16
Sudharsan Chinnaiyan,0000-0002-9594-5220,University of Arkansas at Fayetteville,academic,US,"Review of Ultrafast Switching Power Modules: Trends, Challenges, and Technical Solutions",2026,https://doi.org/10.1109/tpel.2026.3666879,IEEE Transactions on Power Electronics,middle,wide bandgap power device packaging,1,0,16
Sungjoo Lee,0000-0003-1284-3593,Sungkyunkwan University,academic,KR,"Advances and Future Challenges in Monolithic 3D Integrated Logic, Power, and Optoelectronics Technologies for Tightly Interconnected Intelligent Systems",2026,https://doi.org/10.1021/acsnano.5c15601,ACS Nano,middle,laser diode thermal management,1,0,16
T C Tsai,,University of Wisconsin–Madison,academic,US,Preliminary demonstration of diamond-GaN <i>p–n</i> diodes via grafting,2026,https://doi.org/10.1063/5.0309618,Applied Physics Letters,middle,GaN diamond thermal,1,0,16
T. Paskova,0000-0003-2602-1523,Linköping University,academic,SE,Impact of AlN buffer thickness on electrical and thermal characteristics of AlGaN/GaN/AlN HEMTs,2026,https://doi.org/10.1063/5.0310464,Applied Physics Letters,middle,GaN HEMT thermal management,1,0,16
Taewoo Kim,0000-0001-7734-0079,Advanced Laser Technology (United Kingdom),industry,GB,Thermal Optimization and Cooling-Channel Design for a 2-kW Fiber-Laser Cold Plate Considering Distributed Heat Sources and Mechanical Integration Constraints,2026,https://doi.org/10.9766/kimst.2026.29.4.423,Journal of the Korea Institute of Military Science and Technology,middle,laser diode thermal management,1,1,16
Tariq Jamil,0000-0002-7321-4654,University of South Carolina,academic,US,Enhanced Thermal Management in GaN Superlattice Castellated Field Effect Transistors,2026,https://doi.org/10.1109/led.2026.3696134,IEEE Electron Device Letters,middle,GaN diamond thermal,1,0,16
Tazbiul Hasan,,University of South Carolina,academic,US,Enhanced Thermal Management in GaN Superlattice Castellated Field Effect Transistors,2026,https://doi.org/10.1109/led.2026.3696134,IEEE Electron Device Letters,middle,GaN diamond thermal,1,0,16
Thorsten Teutsch,,Optech (Canada),industry,CA,Wirebondability and Solderability of NiAu Electroless Front Side Metalized Silicon Wafers Subjected to High Temperature Back End Assembly Process Flows,2026,https://doi.org/10.4071/001c.164932,IMAPSource Proceedings,middle,die attach thermal resistance,1,1,16
Tianbao Zhao,,University of Jinan,academic,CN,Tremella‐Inspired Wrinkled 1T‐MoS <sub>2</sub> @BN for Efficient Thermal Management and Microwave Absorption,2026,https://doi.org/10.1002/adfm.75355,Advanced Functional Materials,middle,near-junction thermal management,1,0,16
Tianjian Liu,0000-0002-8813-6660,Yangtze University,academic,CN,Simultaneous Measurement of the Thermal Boundary Resistance and Thermal Conductivity of Die-Attach Materials in Sandwich Structures via Multiwavelength Transient Thermoreflectance,2026,https://doi.org/10.1021/acsaelm.6c00280,ACS Applied Electronic Materials,middle,die attach thermal resistance,1,0,16
Tien Khee Ng,0000-0002-1480-6975,King Abdullah University of Science and Technology,academic,SA,Preliminary demonstration of diamond-GaN <i>p–n</i> diodes via grafting,2026,https://doi.org/10.1063/5.0309618,Applied Physics Letters,middle,GaN diamond thermal,1,0,16
Travis J. Anderson,0000-0002-7248-1339,University of Florida,academic,US,O2/Ar inductively coupled plasma etching of boron-doped single-crystal diamond,2026,https://doi.org/10.1116/6.0005496,Journal of Vacuum Science & Technology A Vacuum Surfaces and Films,middle,diamond thermal conductivity substrate,1,0,16
Uiho Choi,0000-0002-8907-2937,École Polytechnique Fédérale de Lausanne,academic,CH,Impact of AlN buffer thickness on electrical and thermal characteristics of AlGaN/GaN/AlN HEMTs,2026,https://doi.org/10.1063/5.0310464,Applied Physics Letters,middle,GaN HEMT thermal management,1,0,16
Vincent Gambin,0000-0002-3860-5166,Northrop Grumman (United States),industry,US,Preliminary demonstration of diamond-GaN <i>p–n</i> diodes via grafting,2026,https://doi.org/10.1063/5.0309618,Applied Physics Letters,middle,GaN diamond thermal,1,1,16
W. Yang,,Sungkyunkwan University,academic,KR,"Advances and Future Challenges in Monolithic 3D Integrated Logic, Power, and Optoelectronics Technologies for Tightly Interconnected Intelligent Systems",2026,https://doi.org/10.1021/acsnano.5c15601,ACS Nano,middle,laser diode thermal management,1,0,16
Wei Liu,0000-0002-7409-0948,Harbin Institute of Technology,academic,CN,Extracting deeply buried thermal resistance in Au/Au-bonded thick Si-on-diamond,2026,https://doi.org/10.1063/5.0314427,Applied Physics Letters,middle,diamond heat spreader,1,0,16
Wei Sha,0000-0002-4528-7792,Chinese Academy of Sciences,academic,CN,Piezotronic probe modulates the piezoelectric-electric-thermal coupling field in GaN power electronics,2026,https://doi.org/10.1039/d5nh00772k,Nanoscale Horizons,middle,GaN HEMT thermal management,1,0,16
Wei Wu,,Chinese Academy of Sciences,academic,CN,Towards power device packaging: Development of Cu-Au 10min direct bonding to replace sintered Ag paste using high interface density surface activation layers,2026,https://doi.org/10.1016/j.msea.2026.149812,Materials Science and Engineering A,middle,wide bandgap power device packaging,1,0,16
Weidong Wang,,Wind Power Engineering (Japan),industry,JP,High-efficiency power electronic devices based on wide-bandgap semiconductor materials,2026,https://doi.org/10.1007/s43236-026-01335-y,Journal of Power Electronics,middle,wide bandgap power device packaging,1,1,16
Weiping Fu,,University of Arkansas at Fayetteville,academic,US,"Review of Ultrafast Switching Power Modules: Trends, Challenges, and Technical Solutions",2026,https://doi.org/10.1109/tpel.2026.3666879,IEEE Transactions on Power Electronics,middle,wide bandgap power device packaging,1,0,16
Wending Yang,,Southeast University,academic,CN,"Microscopic Mechanism of Glass Surface Activation, Annealing and Etching on Glass–Ti/Cu Interfacial Adhesion",2026,https://doi.org/10.3390/mi17070836,Micromachines,middle,chiplet package thermal,1,0,16
Wenjie Qiu,0000-0001-8724-1170,Huazhong University of Science and Technology,academic,CN,Permutation-Equivariant Graph Reinforcement Learning for Thermal-Aware Microservice Scheduling in Co-Packaged Optics Data Centers,2026,https://doi.org/10.3390/sym18071182,Symmetry,middle,co-packaged optics thermal,1,0,16
Wensi Yang,,Harbin Institute of Technology,academic,CN,High-temperature stable growth of thick polycrystalline diamond film on GaN enabled by a SiNx/Si double interlayer,2026,https://doi.org/10.1016/j.diamond.2026.113769,Diamond and Related Materials,middle,diamond heat spreader,1,0,16
Willem van Driel,,Delft University of Technology,academic,NL,Co-packaged electronics with microfluidics for direct-to-package cooling,2026,https://doi.org/10.1038/s44172-026-00620-9,Communications Engineering,middle,chiplet package thermal,1,0,16
Wujong Lee,,Korea Electric Power Corporation (South Korea),industry,KR,Thermal-Stress-Induced Degradation Monitoring and Deep-Neural-Network-Driven Lifetime Prediction of IGBT Modules in a Two-Level SVPWM Inverter,2026,https://doi.org/10.3390/electronics15081678,Electronics,middle,IGBT module thermal fatigue,1,1,16
Xiangqian Xiu,,Nanjing University,academic,CN,Advances and challenges in single crystal diamond growth via microwave plasma chemical vapor deposition,2026,https://doi.org/10.1080/26941112.2026.2669069,Functional Diamond,middle,diamond thermal conductivity substrate,1,0,16
Xiaohan He,0000-0002-2375-4476,Xidian University,academic,CN,Record- low thermal boundary resistance of GaN-on-diamond structure with ultra-high bonding rate via surface reconstruction bonding technique,2026,https://doi.org/10.1016/j.jallcom.2026.186906,Journal of Alloys and Compounds,middle,GaN diamond thermal,1,0,16
Xiaohu Zhang,,Henan Academy of Sciences,academic,CN,Effect of carbide interface layer construction on the interface structure and thermal conductivity of diamond/copper composites,2026,https://doi.org/10.1016/j.ijrmhm.2026.107849,International Journal of Refractory Metals and Hard Materials,middle,copper diamond composite,1,0,16
Xiaohua Ma,,Xidian University,academic,CN,Record- low thermal boundary resistance of GaN-on-diamond structure with ultra-high bonding rate via surface reconstruction bonding technique,2026,https://doi.org/10.1016/j.jallcom.2026.186906,Journal of Alloys and Compounds,middle,GaN diamond thermal,1,0,16
Xiaoqin Guo,0009-0006-0375-7561,Zhengzhou University of Aeronautics,academic,CN,"Effect of sintering temperature on the microstructure, composition, and heat transfer of the GaN/diamond interface",2026,https://doi.org/10.1016/j.ijheatmasstransfer.2026.128447,International Journal of Heat and Mass Transfer,middle,GaN diamond thermal,1,0,16
Xiaoqing Song,,University of Arkansas at Fayetteville,academic,US,"Review of Ultrafast Switching Power Modules: Trends, Challenges, and Technical Solutions",2026,https://doi.org/10.1109/tpel.2026.3666879,IEEE Transactions on Power Electronics,middle,wide bandgap power device packaging,1,0,16
Xiaowu Gao,,Harbin Institute of Technology,academic,CN,Extracting deeply buried thermal resistance in Au/Au-bonded thick Si-on-diamond,2026,https://doi.org/10.1063/5.0314427,Applied Physics Letters,middle,diamond heat spreader,1,0,16
Xin Jia,,National Institute of Metrology,academic,CN,"Effect of sintering temperature on the microstructure, composition, and heat transfer of the GaN/diamond interface",2026,https://doi.org/10.1016/j.ijheatmasstransfer.2026.128447,International Journal of Heat and Mass Transfer,middle,GaN diamond thermal,1,0,16
Xing Hu,,Yangtze University,academic,CN,Rapid Forecast of Device Transient Temperature Response at Wafer Level Through Transducer-Less Thermoreflectance Technique,2026,https://doi.org/10.1109/ted.2026.3669874,IEEE Transactions on Electron Devices,middle,GaN HEMT thermal management,1,0,16
Xinhua Wang,,Chinese Academy of Sciences,academic,CN,Investigation of N-polar GaN-diamond heterogeneous integration enabled by in-situ sputtered aluminum nitride interlayer,2026,https://doi.org/10.1016/j.diamond.2026.113310,Diamond and Related Materials,middle,diamond thermal conductivity substrate,1,0,16
Xinzhu Yin,,Institut des Sciences Moléculaires,academic,FR,Tremella‐Inspired Wrinkled 1T‐MoS <sub>2</sub> @BN for Efficient Thermal Management and Microwave Absorption,2026,https://doi.org/10.1002/adfm.75355,Advanced Functional Materials,middle,near-junction thermal management,1,0,16
